                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                  1.268,                0.63221,                 1.3247,                0.94025,                0.95614,                0.98802,                0.58726,                 1.3041,                0.72035,                 1.5198,               0.007962,               0.007962,               0.007962
                     54,                 1.2423,                0.62478,                 1.3354,                0.88763,                0.91667,                0.96597,                0.60203,                 1.2719,                  1.417,                 1.4546,              0.0079221,              0.0079221,              0.0079221
                     55,                 1.2164,                0.60587,                 1.3166,                0.97148,                0.96491,                0.99148,                0.64672,                 1.2477,                 0.5859,                 1.4738,              0.0078821,              0.0078821,              0.0078821
                     56,                 1.2096,                0.60316,                 1.3406,                0.93601,                0.96234,                0.98138,                0.61155,                 1.3294,                0.62453,                 1.5028,              0.0078422,              0.0078422,              0.0078422
                     57,                 1.2244,                0.60806,                 1.3274,                0.97733,                0.99561,                0.99416,                0.63373,                  1.225,                0.60553,                  1.444,              0.0078022,              0.0078022,              0.0078022
                     58,                 1.2473,                0.61492,                 1.3272,                0.96637,                0.99123,                0.99302,                0.61046,                 1.3084,                 0.6304,                 1.5219,              0.0077622,              0.0077622,              0.0077622
                     59,                 1.2051,                0.59856,                 1.3057,                0.96129,                0.98034,                0.99283,                0.62016,                 1.2743,                0.73964,                 1.4633,              0.0077223,              0.0077223,              0.0077223
                     60,                 1.2382,                0.60635,                 1.3328,                0.95005,                0.94298,                0.98063,                 0.5892,                 1.3425,                 0.6561,                 1.5262,              0.0076823,              0.0076823,              0.0076823
                     61,                 1.1915,                0.61193,                 1.2985,                0.96549,                0.93421,                0.98673,                0.62958,                 1.2724,                0.63696,                  1.483,              0.0076424,              0.0076424,              0.0076424
                     62,                 1.2389,                0.60077,                 1.2968,                0.96068,                0.98246,                 0.9921,                0.61524,                 1.2517,                0.73485,                 1.4736,              0.0076024,              0.0076024,              0.0076024
                     63,                 1.2142,                0.60434,                 1.3274,                0.96824,                0.97807,                 0.9934,                0.59363,                 1.3162,                0.71088,                 1.5166,              0.0075624,              0.0075624,              0.0075624
                     64,                 1.2129,                0.61294,                 1.3173,                0.97843,                0.99482,                0.99456,                0.63968,                 1.2477,                0.59551,                 1.4638,              0.0075225,              0.0075225,              0.0075225
                     65,                 1.1961,                0.60029,                  1.307,                 0.9739,                0.95175,                0.99146,                0.60809,                 1.3097,                0.67723,                 1.4954,              0.0074825,              0.0074825,              0.0074825
                     66,                 1.1989,                0.58895,                 1.2872,                0.96881,                0.95614,                0.99065,                0.62293,                 1.2866,                0.60619,                 1.4791,              0.0074426,              0.0074426,              0.0074426
                     67,                 1.2345,                0.59801,                 1.3298,                0.94688,                0.93812,                0.98158,                0.61441,                 1.2596,                0.84559,                   1.47,              0.0074026,              0.0074026,              0.0074026
                     68,                 1.1776,                0.60723,                 1.2936,                0.96987,                0.98811,                0.99193,                0.60528,                 1.3151,                0.58222,                  1.528,              0.0073626,              0.0073626,              0.0073626
                     69,                 1.1823,                0.57869,                 1.2853,                0.97328,                      1,                0.99291,                0.64506,                 1.2589,                0.56226,                 1.4576,              0.0073227,              0.0073227,              0.0073227
                     70,                 1.1832,                0.59483,                 1.2995,                 0.9509,                0.92982,                0.97985,                0.65037,                 1.2514,                0.69835,                 1.4603,              0.0072827,              0.0072827,              0.0072827
                     71,                 1.2372,                0.61211,                 1.3346,                0.95504,                0.97368,                0.98775,                 0.6192,                 1.2977,                0.58901,                  1.508,              0.0072428,              0.0072428,              0.0072428
                     72,                 1.2063,                0.59307,                 1.3118,                0.93732,                0.98389,                0.98195,                0.63109,                 1.2649,                0.77743,                 1.4685,              0.0072028,              0.0072028,              0.0072028
                     73,                 1.2027,                0.59961,                 1.3171,                0.98112,                0.97807,                0.99378,                0.63591,                 1.2499,                 0.7333,                 1.4491,              0.0071628,              0.0071628,              0.0071628
                     74,                 1.2285,                0.60771,                 1.3193,                0.96973,                0.98345,                0.99389,                0.63272,                  1.199,                0.64556,                 1.4174,              0.0071229,              0.0071229,              0.0071229
                     75,                  1.166,                0.57972,                 1.2759,                0.97821,                0.98455,                 0.9936,                0.62372,                 1.2723,                0.62713,                 1.4793,              0.0070829,              0.0070829,              0.0070829
                     76,                  1.129,                0.55746,                 1.2829,                0.96019,                0.95211,                0.97746,                0.65004,                 1.3007,                 0.5578,                 1.5175,               0.007043,               0.007043,               0.007043
                     77,                 1.1712,                0.57055,                  1.282,                0.96607,                0.97807,                0.99141,                0.62784,                 1.2759,                0.60782,                 1.4643,               0.007003,               0.007003,               0.007003
                     78,                 1.1566,                0.56166,                 1.2702,                0.96464,                0.96491,                0.99024,                0.61625,                 1.3358,                0.59551,                 1.5092,               0.006963,               0.006963,               0.006963
                     79,                 1.2056,                0.58234,                 1.3138,                0.98651,                0.98684,                0.99434,                0.64482,                 1.2704,                0.58191,                 1.4699,              0.0069231,              0.0069231,              0.0069231
                     80,                 1.1685,                0.56934,                 1.2851,                0.97003,                0.99381,                0.99288,                0.63842,                 1.2711,                0.64738,                 1.4794,              0.0068831,              0.0068831,              0.0068831
                     81,                 1.1272,                0.55083,                 1.2314,                0.92823,                0.96428,                0.98336,                0.61218,                 1.3291,                0.70342,                 1.5279,              0.0068432,              0.0068432,              0.0068432
                     82,                 1.1578,                 0.5591,                 1.2698,                0.93284,                0.97465,                 0.9888,                0.64361,                 1.2691,                0.59759,                 1.4828,              0.0068032,              0.0068032,              0.0068032
                     83,                 1.1493,                 0.5565,                 1.2808,                0.97995,                0.99123,                0.99438,                0.67252,                 1.1868,                0.59169,                  1.409,              0.0067632,              0.0067632,              0.0067632
                     84,                 1.1291,                0.54701,                 1.2543,                0.96974,                0.98405,                0.99285,                 0.6448,                 1.2385,                0.56911,                 1.4536,              0.0067233,              0.0067233,              0.0067233
                     85,                 1.1579,                0.56156,                 1.2625,                0.97973,                0.98684,                0.99407,                0.69208,                 1.1648,                0.55125,                 1.3986,              0.0066833,              0.0066833,              0.0066833
                     86,                  1.127,                0.54929,                 1.2639,                0.96124,                 0.9789,                 0.9937,                0.66674,                 1.1547,                0.55016,                 1.3775,              0.0066434,              0.0066434,              0.0066434
                     87,                 1.1236,                0.55829,                   1.27,                0.97331,                0.95959,                0.99023,                0.64482,                 1.2104,                0.56145,                 1.4263,              0.0066034,              0.0066034,              0.0066034
                     88,                 1.1181,                0.56826,                 1.2486,                0.90706,                0.97368,                0.97169,                 0.6303,                 1.2343,                0.57616,                 1.4586,              0.0065634,              0.0065634,              0.0065634
                     89,                 1.1476,                0.55567,                 1.2646,                0.96248,                0.99123,                0.99359,                0.64605,                 1.2385,                 0.5599,                 1.4448,              0.0065235,              0.0065235,              0.0065235
